method,region,roi,sensitivity,specificity,PPV,NPV,subject
SPM,ROI 4,10,24.57293035479632,94.80183802412408,72.08943716268311,69.70016891891892,C5
SPM,ROI 4,10,23.18718381112985,95.03596107742209,70.09345794392523,71.14653716216216,C6
SPM,ROI 4,10,28.521391043282463,95.19355302921284,77.34056987788331,69.83741554054053,C7
SPM,ROI 4,10,28.39378238341969,94.97380716409458,75.5341144038594,70.81925675675676,C8
SPM,ROI 4,10,24.356542942292062,94.9943117178612,71.8625099920064,70.52364864864865,C9
SPM,ROI 4,10,28.05923616523772,95.02409980153104,75.47169811320755,70.7664695945946,C10
SPM,ROI 4,10,25.23936170212766,94.95367070563078,72.831926323868,70.32305743243244,C11
SPM,ROI 4,10,25.465673230441727,95.1233423641808,73.67205542725173,70.42863175675676,C12
SPM,ROI 4,10,28.647471570287923,95.01820830298615,77.58846657929227,68.86613175675676,C13
SPM,ROI 4,10,31.251389197599465,95.06706408345752,80.94415659182499,67.34586148648648,C14
SPM,ROI 4,10,26.057401812688823,95.06837358161188,75.32751091703057,68.99282094594594,C15
SPM,ROI 4,10,22.966765738989466,94.88392089423904,70.4225352112676,69.90076013513513,C16
SPM,ROI 4,10,24.136165856155618,95.17402749341912,74.07698350353496,68.70777027027027,C17
SPM,ROI 4,10,26.80131004366812,95.19136408243376,74.11320754716981,71.68496621621621,C18
SPM,ROI 4,10,25.247148288973385,94.83861587670836,73.72316802368616,68.86613175675676,C19
SPM,ROI 4,10,27.32423383981458,95.24491549699226,76.16654702081837,70.20692567567568,C20
SPM,ROI 4,10,20.91483599157388,94.88423679467628,65.31954887218046,72.25506756756756,C21
SPM,ROI 4,10,27.17137671765621,95.02281802624071,75.01789549033644,70.3441722972973,C22
SPM,ROI 4,10,30.23815251383209,95.09477644335118,78.7593984962406,69.38344594594594,C23
SPM,ROI 4,10,25.708884688090738,94.94278852945332,72.67175572519083,70.95650337837837,C24
SPM,ROI 4,10,21.59404302261445,94.767691208005715,68.1462140992167,69.9852195945946,C25
SCC,ROI 4,40,83.55335071050197,95.57185164292764,96.93688420641888,77.60219855719684,C1
SCC,ROI 4,40,83.14304354917633,95.50143266475644,97.012084879627,76.33115767777396,C2
SCC,ROI 4,40,84.46906202171853,95.36328181424238,97.30501217362102,75.59830527882744,C3
SCC,ROI 4,40,84.74134183451673,95.40742873596314,97.34498543487308,75.88457574716593,C4
SCC,ROI 4,40,84.5108896271687,95.27570361861,97.2061820652174,75.97618229703423,C5
SCC,ROI 4,40,83.90663390663391,95.44493019320264,96.94360333081,77.49914118859499,C6
SCC,ROI 4,40,83.87967605090628,95.59648870341056,97.26321438154012,76.06778884690254,C7
SCC,ROI 4,40,85.54234338747099,95.4127141441314,97.32717373370733,77.16706744532235,C8
SCC,ROI 4,40,83.80044843049326,95.42093287827076,97.01492537313432,76.83499370204969,C9
SCC,ROI 4,40,84.49516441005804,95.39268500141765,97.11008358527477,77.05255925798694,C10
SCC,ROI 4,40,84.93008803728638,95.45260156806845,97.29638104924146,76.67468223978014,C11
SCC,ROI 4,40,84.47973127719673,95.53686011692572,97.24931892081904,76.7204855147143,C12
SCC,ROI 4,40,84.21852387843704,95.44064093226513,97.38119143239624,75.02576434215045,C13
SCC,ROI 4,40,85.3823325124708,95.64828614008944,97.88620240335892,73.49135463185618,C14
SCC,ROI 4,40,83.2548807778378,95.47570555717196,97.1981981981982,75.1517233482194,C15
SCC,ROI 4,40,83.31733077292367,95.27085124677558,96.92823233733594,76.12504294057025,C16
SCC,ROI 4,40,81.84299776656464,95.61275226674466,97.0570924072984,74.8654528798809,C17
SCC,ROI 4,40,85.12872365248502,95.62596383008552,97.22839122323887,78.10603458147257,C18
SCC,ROI 4,40,84.06653534690304,95.2166327420762,97.22409719878502,74.99141188594984,C19
SCC,ROI 4,40,85.23136802652444,95.73188198224004,97.54186257527014,76.53727241497768,C20
SCC,ROI 4,40,84.22439439014025,95.34174407320116,96.7203513909224,78.74728043055079,C21
SCC,ROI 4,40,85.52472858866103,95.45065601825442,97.42159715486582,76.64032978357953,C22
SCC,ROI 4,40,85.5437215928363,95.5288670235856,97.6081740072761,75.59830527882744,C23
SCC,ROI 4,40,83.0370055295619,95.19706173188304,96.63399663399665,77.16706744532235,C24
SCC,ROI 4,40,83.3453670276775,95.16797712651896,96.84907243404494,76.2281003091721,C25
SPM,ROI 4,40,59.2896174863388,95.64236355944156,92.27113556778389,72.80730005367685,C1
SPM,ROI 4,40,58.69599126501326,95.51575931232092,92.32090284592738,71.5727321524423,C2
SPM,ROI 4,40,61.52421652421653,95.53661707352305,93.32324978392394,71.00375738056897,C3
SPM,ROI 4,40,60.166098175886106,95.4362222862079,92.75262917238226,71.16478797638219,C4
SPM,ROI 4,40,61.84773310521814,95.33314187248708,93.03023804417757,71.27214170692432,C5
SPM,ROI 4,40,59.42793224672419,95.55774925962488,92.19137332672284,72.7428878153516,C6
SPM,ROI 4,40,60.28294862248696,95.668441502374435,93.07886870544952,71.36876006441224,C7
SPM,ROI 4,40,63.55896126011068,95.52598046156024,93.40980187695516,72.4315619967794,C8
SPM,ROI 4,40,61.2941702698673,95.54891922639362,92.9249547920434,72.1309715512614,C9
SPM,ROI 4,40,62.01710409908582,95.53444853983557,93.03251493032516,72.34567901234567,C10
SPM,ROI 4,40,61.99186991869918,95.46685673556664,93.06887532693985,71.8947933440687,C11
